State,Percent_College_Graduate
Alabama,0.24927438470429
Alaska,0.292311299131094
Arizona,0.288754992520391
Arkansas,0.225888770458964
California,0.332536528536587
Colorado,0.401455266404026
Connecticut,0.389407304127796
Delaware,0.313997869629185
District of Columbia,0.575687757838601
Florida,0.291654975271209
Georgia,0.306505797425406
Hawaii,0.32477409707123
Idaho,0.269235430096964
Illinois,0.340667375154379
Indiana,0.259080893173918
Iowa,0.282033542281946
Kansas,0.328856400174172
Kentucky,0.236219059628416
Louisiana,0.237325290280607
Maine,0.309205421651271
Maryland,0.396262762894856
Massachusetts,0.429098750314553
Michigan,0.286029312418463
Minnesota,0.35446579926587
Mississippi,0.218153787346606
Missouri,0.28633439664782
Montana,0.312026175085787
Nebraska,0.313261642399009
Nevada,0.242498188813111
New Hampshire,0.364898147807775
New Jersey,0.38894520993575
New Mexico,0.271248242820667
New York,0.359254382992872
North Carolina,0.305038497340947
North Dakota,0.294545654821279
Ohio,0.277881615227757
Oklahoma,0.251775348960626
Oregon,0.328978602746771
Pennsylvania,0.307723943079101
Rhode Island,0.332744125653993
South Carolina,0.274098213235915
South Dakota,0.284750204114742
Tennessee,0.266194937389449
Texas,0.292975796895252
Utah,0.33256923849579
Vermont,0.373226895916488
Virginia,0.38162803960385
Washington,0.352515212588388
West Virginia,0.202579708440009
Wisconsin,0.295223294272619
Wyoming,0.268891394869134
Puerto Rico,0.253480167044635
